property_set_name,applicable_entities,applicable_type_value,property_definitions
Pset_DiscreteAccessoryStandardFixingPlate,"['IfcDiscreteAccessory', 'IfcDiscreteAccessoryType']",IfcDiscreteAccessory.ObjectType=Standard fixing plate | IfcDiscreteAccessoryType.ElementType=Standard fixing plate,"[{'property_name': 'StandardFixingPlateWidth', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPositiveLengthMeasure', 'unit_type': ['LENGTHUNIT']}}, {'property_name': 'StandardFixingPlateDepth', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPositiveLengthMeasure', 'unit_type': ['LENGTHUNIT']}}, {'property_name': 'StandardFixingPlateThickness', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPositiveLengthMeasure', 'unit_type': ['LENGTHUNIT']}}]"
Pset_DiscreteAccessoryWireLoop,"['IfcDiscreteAccessory', 'IfcDiscreteAccessoryType']",IfcDiscreteAccessory.ObjectType=Wire loop | IfcDiscreteAccessoryType.ElementType=Wire loop,"[{'property_name': 'WireLoopBasePlateThickness', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPositiveLengthMeasure', 'unit_type': ['LENGTHUNIT']}}, {'property_name': 'WireLoopBasePlateWidth', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPositiveLengthMeasure', 'unit_type': ['LENGTHUNIT']}}, {'property_name': 'WireLoopBasePlateLength', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPositiveLengthMeasure', 'unit_type': ['LENGTHUNIT']}}, {'property_name': 'WireDiameter', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPositiveLengthMeasure', 'unit_type': ['LENGTHUNIT']}}, {'property_name': 'WireEmbeddingLength', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPositiveLengthMeasure', 'unit_type': ['LENGTHUNIT']}}, {'property_name': 'WireLoopLength', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPositiveLengthMeasure', 'unit_type': ['LENGTHUNIT']}}]"
Pset_DistributionChamberElementTypeFormedDuct,['IfcDistributionChamberElementType'],IfcDistributionChamberElementType.PredefinedType=FORMEDDUCT,"[{'property_name': 'ClearWidth', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPositiveLengthMeasure', 'unit_type': ['LENGTHUNIT']}}, {'property_name': 'ClearDepth', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPositiveLengthMeasure', 'unit_type': ['LENGTHUNIT']}}, {'property_name': 'WallMaterial', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcMaterial'}}, {'property_name': 'WallThickness', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPositiveLengthMeasure', 'unit_type': ['LENGTHUNIT']}}, {'property_name': 'BaseMaterial', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcMaterial'}}, {'property_name': 'BaseThickness', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPositiveLengthMeasure', 'unit_type': ['LENGTHUNIT']}}, {'property_name': 'AccessCoverMaterial', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcMaterial'}}, {'property_name': 'AccessCoverLoadRating', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcText', 'unit_type': 'None'}}, {'property_name': 'FillMaterial', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcMaterial'}}]"
Pset_DistributionChamberElementTypeInspectionChamber,['IfcDistributionChamberElementType'],IfcDistributionChamberElementType.PredefinedType=INSPECTIONCHAMBER,"[{'property_name': 'ChamberLengthOrRadius', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPositiveLengthMeasure', 'unit_type': ['LENGTHUNIT']}}, {'property_name': 'ChamberWidth', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPositiveLengthMeasure', 'unit_type': ['LENGTHUNIT']}}, {'property_name': 'InvertLevel', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcLengthMeasure', 'unit_type': ['LENGTHUNIT']}}, {'property_name': 'SoffitLevel', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcLengthMeasure', 'unit_type': ['LENGTHUNIT']}}, {'property_name': 'WallMaterial', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcMaterial'}}, {'property_name': 'WallThickness', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPositiveLengthMeasure', 'unit_type': ['LENGTHUNIT']}}, {'property_name': 'BaseMaterial', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcMaterial'}}, {'property_name': 'BaseThickness', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPositiveLengthMeasure', 'unit_type': ['LENGTHUNIT']}}, {'property_name': 'WithBackdrop', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcBoolean', 'unit_type': 'None'}}, {'property_name': 'AccessCoverMaterial', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcMaterial'}}, {'property_name': 'AccessLengthOrRadius', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPositiveLengthMeasure', 'unit_type': ['LENGTHUNIT']}}, {'property_name': 'AccessWidth', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPositiveLengthMeasure', 'unit_type': ['LENGTHUNIT']}}, {'property_name': 'AccessCoverLoadRating', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcText', 'unit_type': 'None'}}]"
Pset_DistributionChamberElementTypeInspectionPit,['IfcDistributionChamberElementType'],IfcDistributionChamberElementType.PredefinedType=INSPECTIONPIT,"[{'property_name': 'Length', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPositiveLengthMeasure', 'unit_type': ['LENGTHUNIT']}}, {'property_name': 'Width', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPositiveLengthMeasure', 'unit_type': ['LENGTHUNIT']}}, {'property_name': 'Depth', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPositiveLengthMeasure', 'unit_type': ['LENGTHUNIT']}}]"
Pset_DistributionChamberElementTypeManhole,['IfcDistributionChamberElementType'],IfcDistributionChamberElementType.PredefinedType=MANHOLE,"[{'property_name': 'InvertLevel', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcLengthMeasure', 'unit_type': ['LENGTHUNIT']}}, {'property_name': 'SoffitLevel', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcLengthMeasure', 'unit_type': ['LENGTHUNIT']}}, {'property_name': 'WallMaterial', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcMaterial'}}, {'property_name': 'WallThickness', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPositiveLengthMeasure', 'unit_type': ['LENGTHUNIT']}}, {'property_name': 'BaseMaterial', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcMaterial'}}, {'property_name': 'BaseThickness', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPositiveLengthMeasure', 'unit_type': ['LENGTHUNIT']}}, {'property_name': 'IsShallow', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcBoolean', 'unit_type': 'None'}}, {'property_name': 'HasSteps', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcBoolean', 'unit_type': 'None'}}, {'property_name': 'WithBackdrop', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcBoolean', 'unit_type': 'None'}}, {'property_name': 'AccessCoverMaterial', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcMaterial'}}, {'property_name': 'AccessLengthOrRadius', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPositiveLengthMeasure', 'unit_type': ['LENGTHUNIT']}}, {'property_name': 'AccessWidth', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPositiveLengthMeasure', 'unit_type': ['LENGTHUNIT']}}, {'property_name': 'AccessCoverLoadRating', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcText', 'unit_type': 'None'}}]"
Pset_DistributionChamberElementTypeMeterChamber,['IfcDistributionChamberElementType'],IfcDistributionChamberElementType.PredefinedType=METERCHAMBER,"[{'property_name': 'ChamberLengthOrRadius', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPositiveLengthMeasure', 'unit_type': ['LENGTHUNIT']}}, {'property_name': 'ChamberWidth', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPositiveLengthMeasure', 'unit_type': ['LENGTHUNIT']}}, {'property_name': 'WallMaterial', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcMaterial'}}, {'property_name': 'WallThickness', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPositiveLengthMeasure', 'unit_type': ['LENGTHUNIT']}}, {'property_name': 'BaseMaterial', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcMaterial'}}, {'property_name': 'BaseThickness', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPositiveLengthMeasure', 'unit_type': ['LENGTHUNIT']}}, {'property_name': 'AccessCoverMaterial', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcMaterial'}}]"
Pset_DistributionChamberElementTypeSump,['IfcDistributionChamberElementType'],IfcDistributionChamberElementType.PredefinedType=SUMP,"[{'property_name': 'Length', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPositiveLengthMeasure', 'unit_type': ['LENGTHUNIT']}}, {'property_name': 'Width', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPositiveLengthMeasure', 'unit_type': ['LENGTHUNIT']}}, {'property_name': 'InvertLevel', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPositiveLengthMeasure', 'unit_type': ['LENGTHUNIT']}}]"
Pset_DistributionChamberElementTypeTrench,['IfcDistributionChamberElementType'],IfcDistributionChamberElementType.PredefinedType=TRENCH,"[{'property_name': 'Width', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPositiveLengthMeasure', 'unit_type': ['LENGTHUNIT']}}, {'property_name': 'Depth', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPositiveLengthMeasure', 'unit_type': ['LENGTHUNIT']}}, {'property_name': 'InvertLevel', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcLengthMeasure', 'unit_type': ['LENGTHUNIT']}}]"
Pset_DistributionChamberElementTypeValveChamber,['IfcDistributionChamberElementType'],IfcDistributionChamberElementType.PredefinedType=VALVECHAMBER,"[{'property_name': 'ChamberLengthOrRadius', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPositiveLengthMeasure', 'unit_type': ['LENGTHUNIT']}}, {'property_name': 'ChamberWidth', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPositiveLengthMeasure', 'unit_type': ['LENGTHUNIT']}}, {'property_name': 'WallMaterial', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcMaterial'}}, {'property_name': 'WallThickness', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPositiveLengthMeasure', 'unit_type': ['LENGTHUNIT']}}, {'property_name': 'BaseMaterial', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcMaterial'}}, {'property_name': 'BaseThickness', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPositiveLengthMeasure', 'unit_type': ['LENGTHUNIT']}}, {'property_name': 'AccessCoverMaterial', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcMaterial'}}]"
Pset_DistributionFlowElementCommon,"['IfcDistributionFlowElement', 'IfcDistributionChamberElement', 'IfcEnergyConversionDevice', 'IfcFlowController', 'IfcFlowFitting', 'IfcFlowMovingDevice', 'IfcFlowSegment', 'IfcFlowStorageDevice', 'IfcFlowTerminal', 'IfcFlowTreatmentDevice']",,"[{'property_name': 'Reference', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcIdentifier', 'unit_type': 'None'}}]"
Pset_DistributionPortDuct,['IfcDistributionPort'],,"[{'property_name': 'PortNumber', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcInteger', 'unit_type': 'None'}}, {'property_name': 'ConnectionType', 'property_type': 'IfcPropertyEnumeratedValue', 'data_type': {'instance': 'PEnum_DuctConnectionType', 'values': ['BEADEDSLEEVE', 'COMPRESSION', 'CRIMP', 'DRAWBAND', 'DRIVESLIP', 'FLANGED', 'OUTSIDESLEEVE', 'SLIPON', 'SOLDERED', 'SSLIP', 'STANDINGSEAM', 'SWEDGE', 'WELDED', 'OTHER', 'NONE', 'USERDEFINED', 'NOTDEFINED']}}]"
Pset_DistributionPortPipe,['IfcDistributionPort'],,"[{'property_name': 'PortNumber', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcInteger', 'unit_type': 'None'}}, {'property_name': 'ConnectionType', 'property_type': 'IfcPropertyEnumeratedValue', 'data_type': {'instance': 'PEnum_PipeEndStyleTreatment', 'values': ['BRAZED', 'COMPRESSION', 'FLANGED', 'GROOVED', 'OUTSIDESLEEVE', 'SOLDERED', 'SWEDGE', 'THREADED', 'WELDED', 'OTHER', 'NONE', 'UNSET']}}]"
Pset_DoorCommon,['IfcDoor'],,"[{'property_name': 'Reference', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcIdentifier', 'unit_type': 'None'}}, {'property_name': 'FireRating', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcLabel', 'unit_type': 'None'}}, {'property_name': 'AcousticRating', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcLabel', 'unit_type': 'None'}}, {'property_name': 'SecurityRating', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcLabel', 'unit_type': 'None'}}, {'property_name': 'IsExternal', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcBoolean', 'unit_type': 'None'}}, {'property_name': 'Infiltration', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcVolumetricFlowRateMeasure', 'unit_type': ['VOLUMETRICFLOWRATEUNIT']}}, {'property_name': 'ThermalTransmittance', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcThermalTransmittanceMeasure', 'unit_type': ['THERMALTRANSMITTANCEUNIT']}}, {'property_name': 'GlazingAreaFraction', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPositiveRatioMeasure', 'unit_type': 'None'}}, {'property_name': 'HandicapAccessible', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcBoolean', 'unit_type': 'None'}}, {'property_name': 'FireExit', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcBoolean', 'unit_type': 'None'}}, {'property_name': 'SelfClosing', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcBoolean', 'unit_type': 'None'}}, {'property_name': 'SmokeStop', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcBoolean', 'unit_type': 'None'}}]"
Pset_DoorWindowGlazingType,"['IfcDoor', 'IfcWindow']",,"[{'property_name': 'GlassLayers', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcCountMeasure', 'unit_type': 'None'}}, {'property_name': 'GlassThickness1', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPositiveLengthMeasure', 'unit_type': ['LENGTHUNIT']}}, {'property_name': 'GlassThickness2', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPositiveLengthMeasure', 'unit_type': ['LENGTHUNIT']}}, {'property_name': 'GlassThickness3', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPositiveLengthMeasure', 'unit_type': ['LENGTHUNIT']}}, {'property_name': 'FillGas', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcLabel', 'unit_type': 'None'}}, {'property_name': 'GlassColor', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcLabel', 'unit_type': 'None'}}, {'property_name': 'IsTempered', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcBoolean', 'unit_type': 'None'}}, {'property_name': 'IsLaminated', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcBoolean', 'unit_type': 'None'}}, {'property_name': 'IsCoated', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcBoolean', 'unit_type': 'None'}}, {'property_name': 'IsWired', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcBoolean', 'unit_type': 'None'}}, {'property_name': 'Translucency', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPositiveRatioMeasure', 'unit_type': 'None'}}, {'property_name': 'Reflectivity', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPositiveRatioMeasure', 'unit_type': 'None'}}, {'property_name': 'BeamRadiationTransmittance', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPositiveRatioMeasure', 'unit_type': 'None'}}, {'property_name': 'SolarHeatGainTransmittance', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPositiveRatioMeasure', 'unit_type': 'None'}}, {'property_name': 'ThermalTransmittanceSummer', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcThermalTransmittanceMeasure', 'unit_type': ['THERMALTRANSMITTANCEUNIT']}}, {'property_name': 'ThermalTransmittanceWinter', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcThermalTransmittanceMeasure', 'unit_type': ['THERMALTRANSMITTANCEUNIT']}}]"
Pset_DoorWindowShadingType,"['IfcDoor', 'IfcWindow']",,"[{'property_name': 'ExternalShadingCoefficient', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPositiveRatioMeasure', 'unit_type': 'None'}}, {'property_name': 'InternalShadingCoefficient', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPositiveRatioMeasure', 'unit_type': 'None'}}, {'property_name': 'InsetShadingCoefficient', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPositiveRatioMeasure', 'unit_type': 'None'}}]"
Pset_DrainageCatchment,['IfcSite'],,"[{'property_name': 'AreaDrained', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcAreaMeasure', 'unit_type': ['AREAUNIT']}}]"
Pset_DrainageCulvert,['IfcSystem'],,"[{'property_name': 'InternalWidth', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcLengthMeasure', 'unit_type': ['LENGTHUNIT']}}, {'property_name': 'ClearDepth', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcLengthMeasure', 'unit_type': ['LENGTHUNIT']}}]"
Pset_DrainageOutfall,['IfcProxy'],,"[{'property_name': 'InvertLevel', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcLengthMeasure', 'unit_type': ['LENGTHUNIT']}}]"
Pset_DrainageReserve,['IfcSite'],,"[{'property_name': 'Width', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcLengthMeasure', 'unit_type': ['LENGTHUNIT']}}]"
Pset_Draughting,"['IfcElement', 'IfcSpatialStructureElement']",,"[{'property_name': 'LayerName', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcIdentifier', 'unit_type': 'None'}}, {'property_name': 'Colour', 'property_type': 'IfcComplexProperty', 'data_type': [{'instance': 'RGB_Colour', 'complex_values': {'property_name': 'Red', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcInteger', 'unit_type': 'None'}}}, {'instance': 'RGB_Colour', 'complex_values': {'property_name': 'Green', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcInteger', 'unit_type': 'None'}}}, {'instance': 'RGB_Colour', 'complex_values': {'property_name': 'Blue', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcInteger', 'unit_type': 'None'}}}]}]"
Pset_DuctConnection,['IfcDistributionElement'],,"[{'property_name': 'ConnectionType', 'property_type': 'IfcPropertyListValue', 'data_type': {'instance': 'IfcText', 'values': ['ANGLE', 'BEADEDSLEEVE', 'BRAZED', 'COMPRESSION', 'CRIMP', 'DRAWBAND', 'DRIVESLIP', 'FLANGED', 'OUTSIDESLEEVE', 'SLIPON', 'SOLDERED', 'SSLIP', 'STANDINGSEAM', 'SWEDGE', 'WELDED', 'NONE', 'NOTDEFINED'], 'unit_type': ['']}}]"
Pset_DuctDesignCriteria,['IfcSystem'],,"[{'property_name': 'DesignName', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcText', 'unit_type': 'None'}}, {'property_name': 'DuctSizingMethod', 'property_type': 'IfcPropertyEnumeratedValue', 'data_type': {'instance': 'PEnum_DuctSizingMethod', 'values': ['CONSTANTFRICTION', 'CONSTANTPRESSURE', 'STATICREGAIN', 'OTHER', 'NOTKNOWN', 'UNSET']}}, {'property_name': 'PressureClass', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPressureMeasure', 'unit_type': ['PRESSUREUNIT']}}, {'property_name': 'LeakageClass', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPressureMeasure', 'unit_type': ['PRESSUREUNIT']}}, {'property_name': 'FrictionLoss', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcReal', 'unit_type': ['USERDEFINED']}}, {'property_name': 'ScrapFactor', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcReal', 'unit_type': ['USERDEFINED']}}, {'property_name': 'DuctSealant', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcMaterial'}}, {'property_name': 'MaximumVelocity', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcLinearVelocityMeasure', 'unit_type': ['LINEARVELOCITYUNIT']}}, {'property_name': 'AspectRatio', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcReal', 'unit_type': ['USERDEFINED']}}, {'property_name': 'MinimumHeight', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPositiveLengthMeasure', 'unit_type': ['LENGTHUNIT']}}, {'property_name': 'MinimumWidth', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPositiveLengthMeasure', 'unit_type': ['LENGTHUNIT']}}]"
Pset_DuctFittingPHistory,['IfcPerformanceHistory'],,"[{'property_name': 'LossCoefficient', 'property_type': None, 'data_type': {'instance': 'IfcTimeSeries', 'unit_type': ['IFCREAL']}}, {'property_name': 'AtmosphericPressure', 'property_type': None, 'data_type': {'instance': 'IfcTimeSeries', 'unit_type': ['IFCPRESSUREMEASURE']}}, {'property_name': 'AirFlowLeakage', 'property_type': None, 'data_type': {'instance': 'IfcTimeSeries', 'unit_type': ['IFCVOLUMETRICFLOWRATEMEASURE']}}]"
Pset_DuctFittingTypeCommon,['IfcDuctFittingType'],,"[{'property_name': 'SubType', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcText', 'unit_type': 'None'}}, {'property_name': 'Material', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcMaterial'}}, {'property_name': 'MaterialThickness', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPositiveLengthMeasure', 'unit_type': ['LENGTHUNIT']}}, {'property_name': 'PressureClass', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPressureMeasure', 'unit_type': ['PRESSUREUNIT']}}, {'property_name': 'UnitWeight', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcMassPerLengthMeasure', 'unit_type': ['MASSPERLENGTHUNIT']}}, {'property_name': 'PressureRange', 'property_type': 'IfcPropertyBoundedValue', 'data_type': {'instance': 'IfcPressureMeasure', 'values': ['0', '?'], 'unit_type': ['PRESSUREUNIT']}}, {'property_name': 'TemperatureRange', 'property_type': 'IfcPropertyBoundedValue', 'data_type': {'instance': 'IfcThermodynamicTemperatureMeasure', 'values': ['0', '?'], 'unit_type': ['THERMODYNAMICTEMPERATUREUNIT']}}, {'property_name': 'NominalDiameterOrWidth', 'property_type': 'IfcPropertyListValue', 'data_type': {'instance': 'IfcPositiveLengthMeasure', 'values': ['0', '1', '2'], 'unit_type': ['LENGTHUNIT']}}, {'property_name': 'NominalHeight', 'property_type': 'IfcPropertyListValue', 'data_type': {'instance': 'IfcPositiveLengthMeasure', 'values': ['0', '1', '2'], 'unit_type': ['LENGTHUNIT']}}, {'property_name': 'EndStyleTreatment', 'property_type': 'IfcPropertyListValue', 'data_type': {'instance': 'IfcText', 'values': ['ANGLE', 'BEADEDSLEEVE', 'BRAZED', 'COMPRESSION', 'CRIMP', 'DRAWBAND', 'DRIVESLIP', 'FLANGED', 'OUTSIDESLEEVE', 'SLIPON', 'SOLDERED', 'SSLIP', 'STANDINGSEAM', 'SWEDGE', 'WELDED', 'NONE', 'NOTDEFINED'], 'unit_type': ['']}}]"
Pset_DuctSegmentPHistory,['IfcPerformanceHistory'],,"[{'property_name': 'LossCoefficient', 'property_type': None, 'data_type': {'instance': 'IfcTimeSeries', 'unit_type': ['IFCREAL']}}, {'property_name': 'AtmosphericPressure', 'property_type': None, 'data_type': {'instance': 'IfcTimeSeries', 'unit_type': ['IFCPRESSUREMEASURE']}}, {'property_name': 'LeakageCurve', 'property_type': None, 'data_type': {'instance': 'IfcTimeSeries', 'unit_type': 'None'}}, {'property_name': 'FluidFlowLeakage', 'property_type': None, 'data_type': {'instance': 'IfcTimeSeries', 'unit_type': ['IFCVOLUMETRICFLOWRATEMEASURE']}}]"
