property_set_name,template_type,applicable_entities,applicable_type_value,property_definitions
Pset_ColumnCommon,PSET_TYPEDRIVENOVERRIDE,['IfcColumn'],IfcColumn,"[{'property_name': 'Reference', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcIdentifier', 'unit_type': 'None'}}, {'property_name': 'Status', 'property_type': 'IfcPropertyEnumeratedValue', 'data_type': {'instance': 'PEnum_ElementStatus', 'enums': ['NEW', 'EXISTING', 'DEMOLISH', 'TEMPORARY', 'OTHER', 'NOTKNOWN', 'UNSET']}}, {'property_name': 'Slope', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPlaneAngleMeasure', 'unit_type': 'None'}}, {'property_name': 'Roll', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPlaneAngleMeasure', 'unit_type': 'None'}}, {'property_name': 'IsExternal', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcBoolean', 'unit_type': 'None'}}, {'property_name': 'ThermalTransmittance', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcThermalTransmittanceMeasure', 'unit_type': 'None'}}, {'property_name': 'LoadBearing', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcBoolean', 'unit_type': 'None'}}, {'property_name': 'FireRating', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcLabel', 'unit_type': 'None'}}]"
Pset_CommunicationsAppliancePHistory,PSET_PERFORMANCEDRIVEN,['IfcCommunicationsAppliance'],IfcCommunicationsAppliance,"[{'property_name': 'PowerState', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcTimeSeries'}}]"
Pset_CommunicationsApplianceTypeCommon,PSET_TYPEDRIVENOVERRIDE,['IfcCommunicationsAppliance'],IfcCommunicationsAppliance,"[{'property_name': 'Reference', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcIdentifier', 'unit_type': 'None'}}, {'property_name': 'Status', 'property_type': 'IfcPropertyEnumeratedValue', 'data_type': {'instance': 'PEnum_ElementStatus', 'enums': ['NEW', 'EXISTING', 'DEMOLISH', 'TEMPORARY', 'OTHER', 'NOTKNOWN', 'UNSET']}}]"
Pset_CompressorPHistory,PSET_PERFORMANCEDRIVEN,['IfcCompressor'],IfcCompressor,"[{'property_name': 'CompressorCapacity', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcTimeSeries'}}, {'property_name': 'EnergyEfficiencyRatio', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcTimeSeries'}}, {'property_name': 'CoefficientOfPerformance', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcTimeSeries'}}, {'property_name': 'VolumetricEfficiency', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcTimeSeries'}}, {'property_name': 'CompressionEfficiency', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcTimeSeries'}}, {'property_name': 'MechanicalEfficiency', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcTimeSeries'}}, {'property_name': 'IsentropicEfficiency', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcTimeSeries'}}, {'property_name': 'CompressorTotalEfficiency', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcTimeSeries'}}, {'property_name': 'ShaftPower', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcTimeSeries'}}, {'property_name': 'InputPower', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcTimeSeries'}}, {'property_name': 'LubricantPumpHeatGain', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcTimeSeries'}}, {'property_name': 'FrictionHeatGain', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcTimeSeries'}}, {'property_name': 'CompressorTotalHeatGain', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcTimeSeries'}}, {'property_name': 'FullLoadRatio', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcTimeSeries'}}]"
Pset_CompressorTypeCommon,PSET_TYPEDRIVENOVERRIDE,['IfcCompressor'],IfcCompressor,"[{'property_name': 'Reference', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcIdentifier', 'unit_type': 'None'}}, {'property_name': 'Status', 'property_type': 'IfcPropertyEnumeratedValue', 'data_type': {'instance': 'PEnum_ElementStatus', 'enums': ['NEW', 'EXISTING', 'DEMOLISH', 'TEMPORARY', 'OTHER', 'NOTKNOWN', 'UNSET']}}, {'property_name': 'PowerSource', 'property_type': 'IfcPropertyEnumeratedValue', 'data_type': {'instance': 'PEnum_CompressorTypePowerSource', 'enums': ['MOTORDRIVEN', 'ENGINEDRIVEN', 'GASTURBINE', 'OTHER', 'NOTKNOWN', 'UNSET']}}, {'property_name': 'RefrigerantClass', 'property_type': 'IfcPropertyEnumeratedValue', 'data_type': {'instance': 'PEnum_RefrigerantClass', 'enums': ['CFC', 'HCFC', 'HFC', 'HYDROCARBONS', 'AMMONIA', 'CO2', 'H2O', 'OTHER', 'NOTKNOWN', 'UNSET']}}, {'property_name': 'MinimumPartLoadRatio', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPositiveRatioMeasure', 'unit_type': 'None'}}, {'property_name': 'MaximumPartLoadRatio', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPositiveRatioMeasure', 'unit_type': 'None'}}, {'property_name': 'CompressorSpeed', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcRotationalFrequencyMeasure', 'unit_type': 'None'}}, {'property_name': 'NominalCapacity', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPowerMeasure', 'unit_type': 'None'}}, {'property_name': 'IdealCapacity', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPowerMeasure', 'unit_type': 'None'}}, {'property_name': 'IdealShaftPower', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPowerMeasure', 'unit_type': 'None'}}, {'property_name': 'HasHotGasBypass', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcBoolean', 'unit_type': 'None'}}, {'property_name': 'ImpellerDiameter', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPositiveLengthMeasure', 'unit_type': 'None'}}]"
Pset_ConcreteElementGeneral,PSET_TYPEDRIVENOVERRIDE,"['IfcBeam', 'IfcBuildingElementProxy', 'IfcChimney', 'IfcColumn', 'IfcFooting', 'IfcMember', 'IfcPile', 'IfcPlate', 'IfcRailing', 'IfcRamp', 'IfcRampFlight', 'IfcRoof', 'IfcSlab', 'IfcStair', 'IfcStairFlight', 'IfcWall', 'IfcCivilElement']","IfcBeam,IfcBuildingElementProxy,IfcChimney,IfcColumn,IfcFooting,IfcMember,IfcPile,IfcPlate,IfcRailing,IfcRamp,IfcRampFlight,IfcRoof,IfcSlab,IfcStair,IfcStairFlight,IfcWall,IfcCivilElement","[{'property_name': 'ConstructionMethod', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcLabel', 'unit_type': 'None'}}, {'property_name': 'StructuralClass', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcLabel', 'unit_type': 'None'}}, {'property_name': 'StrengthClass', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcLabel', 'unit_type': 'None'}}, {'property_name': 'ExposureClass', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcLabel', 'unit_type': 'None'}}, {'property_name': 'ReinforcementVolumeRatio', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcMassDensityMeasure', 'unit_type': 'None'}}, {'property_name': 'ReinforcementAreaRatio', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcAreaDensityMeasure', 'unit_type': 'None'}}, {'property_name': 'DimensionalAccuracyClass', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcLabel', 'unit_type': 'None'}}, {'property_name': 'ConstructionToleranceClass', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcLabel', 'unit_type': 'None'}}, {'property_name': 'ConcreteCover', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPositiveLengthMeasure', 'unit_type': 'None'}}, {'property_name': 'ConcreteCoverAtMainBars', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPositiveLengthMeasure', 'unit_type': 'None'}}, {'property_name': 'ConcreteCoverAtLinks', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPositiveLengthMeasure', 'unit_type': 'None'}}, {'property_name': 'ReinforcementStrengthClass', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcLabel', 'unit_type': 'None'}}]"
Pset_CondenserPHistory,PSET_PERFORMANCEDRIVEN,['IfcCondenser'],IfcCondenser,"[{'property_name': 'HeatRejectionRate', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcTimeSeries'}}, {'property_name': 'ExteriorHeatTransferCoefficient', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcTimeSeries'}}, {'property_name': 'InteriorHeatTransferCoefficient', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcTimeSeries'}}, {'property_name': 'RefrigerantFoulingResistance', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcTimeSeries'}}, {'property_name': 'CondensingTemperature', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcTimeSeries'}}, {'property_name': 'LogarithmicMeanTemperatureDifference', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcTimeSeries'}}, {'property_name': 'UAcurves', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcTimeSeries'}}, {'property_name': 'CompressorCondenserHeatGain', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcTimeSeries'}}, {'property_name': 'CompressorCondenserPressureDrop', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcTimeSeries'}}, {'property_name': 'CondenserMeanVoidFraction', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcTimeSeries'}}, {'property_name': 'WaterFoulingResistance', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcTimeSeries'}}]"
Pset_CondenserTypeCommon,PSET_TYPEDRIVENOVERRIDE,['IfcCondenser'],IfcCondenser,"[{'property_name': 'Reference', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcIdentifier', 'unit_type': 'None'}}, {'property_name': 'Status', 'property_type': 'IfcPropertyEnumeratedValue', 'data_type': {'instance': None, 'enums': []}}, {'property_name': 'RefrigerantClass', 'property_type': 'IfcPropertyEnumeratedValue', 'data_type': {'instance': 'PEnum_RefrigerantClass', 'enums': ['CFC', 'HCFC', 'HFC', 'HYDROCARBONS', 'AMMONIA', 'CO2', 'H2O', 'OTHER', 'NOTKNOWN', 'UNSET']}}, {'property_name': 'ExternalSurfaceArea', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcAreaMeasure', 'unit_type': 'None'}}, {'property_name': 'InternalSurfaceArea', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcAreaMeasure', 'unit_type': 'None'}}, {'property_name': 'InternalRefrigerantVolume', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcVolumeMeasure', 'unit_type': 'None'}}, {'property_name': 'InternalWaterVolume', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcVolumeMeasure', 'unit_type': 'None'}}, {'property_name': 'NominalHeatTransferArea', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcAreaMeasure', 'unit_type': 'None'}}, {'property_name': 'NominalHeatTransferCoefficient', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcThermalTransmittanceMeasure', 'unit_type': 'None'}}]"
Pset_Condition,PSET_TYPEDRIVENOVERRIDE,['IfcElement'],IfcElement,"[{'property_name': 'AssessmentDate', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcDate', 'unit_type': 'None'}}, {'property_name': 'AssessmentCondition', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcLabel', 'unit_type': 'None'}}, {'property_name': 'AssessmentDescription', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcText', 'unit_type': 'None'}}]"
Pset_ConstructionResource,PSET_TYPEDRIVENOVERRIDE,['IfcConstructionResource'],IfcConstructionResource,"[{'property_name': 'ScheduleWork', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcTimeSeries'}}, {'property_name': 'ActualWork', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcTimeSeries'}}, {'property_name': 'RemainingWork', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcTimeSeries'}}, {'property_name': 'ScheduleCost', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcTimeSeries'}}, {'property_name': 'ActualCost', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcTimeSeries'}}, {'property_name': 'RemainingCost', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcTimeSeries'}}, {'property_name': 'ScheduleCompletion', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcTimeSeries'}}, {'property_name': 'ActualCompletion', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcTimeSeries'}}]"
Pset_ControllerPHistory,PSET_PERFORMANCEDRIVEN,['IfcController'],IfcController,"[{'property_name': 'Value', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcTimeSeries'}}, {'property_name': 'Quality', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcTimeSeries'}}, {'property_name': 'Status', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcTimeSeries'}}]"
Pset_ControllerTypeCommon,PSET_TYPEDRIVENOVERRIDE,['IfcController'],IfcController,"[{'property_name': 'Reference', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcIdentifier', 'unit_type': 'None'}}, {'property_name': 'Status', 'property_type': 'IfcPropertyEnumeratedValue', 'data_type': {'instance': 'PEnum_ElementStatus', 'enums': ['NEW', 'EXISTING', 'DEMOLISH', 'TEMPORARY', 'OTHER', 'NOTKNOWN', 'UNSET']}}]"
Pset_ControllerTypeFloating,PSET_TYPEDRIVENOVERRIDE,['IfcController/FLOATING'],IfcController/FLOATING,"[{'property_name': 'ControlType', 'property_type': 'IfcPropertyEnumeratedValue', 'data_type': {'instance': 'PEnum_ControllerTypeFloating', 'enums': ['CONSTANT', 'MODIFIER', 'ABSOLUTE', 'INVERSE', 'HYSTERESIS', 'RUNNINGAVERAGE', 'DERIVATIVE', 'INTEGRAL', 'BINARY', 'ACCUMULATOR', 'PULSECONVERTER', 'LOWERLIMITCONTROL', 'UPPERLIMITCONTROL', 'SUM', 'SUBTRACT', 'PRODUCT', 'DIVIDE', 'AVERAGE', 'MAXIMUM', 'MINIMUM', 'REPORT', 'SPLIT', 'INPUT', 'OUTPUT', 'VARIABLE', 'OTHER', 'NOTKNOWN', 'UNSET']}}, {'property_name': 'Labels', 'property_type': 'IfcPropertyTableValue', 'data_type': [{'instance': 'IfcReal', 'values': [], 'unit_type': 'None'}, {'instance': 'IfcLabel', 'values': [], 'unit_type': 'None'}]}, {'property_name': 'Range', 'property_type': 'IfcPropertyBoundedValue', 'data_type': {'instance': 'IfcReal', 'bounds': [], 'unit_type': 'None'}}, {'property_name': 'Value', 'property_type': 'IfcPropertyBoundedValue', 'data_type': {'instance': 'IfcReal', 'bounds': [], 'unit_type': 'None'}}, {'property_name': 'SignalOffset', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcReal', 'unit_type': 'None'}}, {'property_name': 'SignalFactor', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcReal', 'unit_type': 'None'}}, {'property_name': 'SignalTime', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcTimeMeasure', 'unit_type': 'None'}}]"
Pset_ControllerTypeMultiPosition,PSET_TYPEDRIVENOVERRIDE,['IfcController/MULTIPOSITION'],IfcController/MULTIPOSITION,"[{'property_name': 'ControlType', 'property_type': 'IfcPropertyEnumeratedValue', 'data_type': {'instance': 'PEnum_ControllerMultiPositionType', 'enums': ['INPUT', 'OUTPUT', 'VARIABLE', 'OTHER', 'NOTKNOWN', 'UNSET']}}, {'property_name': 'Labels', 'property_type': 'IfcPropertyTableValue', 'data_type': [{'instance': 'IfcInteger', 'values': [], 'unit_type': 'None'}, {'instance': 'IfcLabel', 'values': [], 'unit_type': 'None'}]}, {'property_name': 'Range', 'property_type': 'IfcPropertyBoundedValue', 'data_type': {'instance': 'IfcInteger', 'bounds': [], 'unit_type': 'None'}}, {'property_name': 'Value', 'property_type': 'IfcPropertyBoundedValue', 'data_type': {'instance': 'IfcInteger', 'bounds': [], 'unit_type': 'None'}}]"
Pset_ControllerTypeProgrammable,PSET_TYPEDRIVENOVERRIDE,['IfcController/PROGRAMMABLE'],IfcController/PROGRAMMABLE,"[{'property_name': 'ControlType', 'property_type': 'IfcPropertyEnumeratedValue', 'data_type': {'instance': 'PEnum_ControllerTypeProgrammable', 'enums': ['PRIMARY', 'SECONDARY', 'OTHER', 'NOTKNOWN', 'UNSET']}}, {'property_name': 'FirmwareVersion', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcLabel', 'unit_type': 'None'}}, {'property_name': 'SoftwareVersion', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcLabel', 'unit_type': 'None'}}, {'property_name': 'Application', 'property_type': 'IfcPropertyEnumeratedValue', 'data_type': {'instance': 'PEnum_ControllerApplication', 'enums': ['ModemController', 'TelephoneDirectory', 'FanCoilUnitController', 'RoofTopUnitController', 'UnitVentilatorController', 'SpaceConfortController', 'VAV', 'PumpController', 'BoilerController', 'DischargeAirController', 'OccupancyController', 'ConstantLightController', 'SceneController', 'PartitionWallController', 'RealTimeKeeper', 'RealTimeBasedScheduler', 'LightingPanelController', 'SunblindController', 'OTHER', 'NOTKNOWN', 'UNSET']}}]"
Pset_ControllerTypeProportional,PSET_TYPEDRIVENOVERRIDE,['IfcController/PROPORTIONAL'],IfcController/PROPORTIONAL,"[{'property_name': 'ControlType', 'property_type': 'IfcPropertyEnumeratedValue', 'data_type': {'instance': 'PEnum_ControllerProportionalType', 'enums': ['PROPORTIONAL', 'PROPORTIONALINTEGRAL', 'PROPORTIONALINTEGRALDERIVATIVE', 'OTHER', 'NOTKNOWN', 'UNSET']}}, {'property_name': 'Labels', 'property_type': 'IfcPropertyTableValue', 'data_type': [{'instance': 'IfcReal', 'values': [], 'unit_type': 'None'}, {'instance': 'IfcLabel', 'values': [], 'unit_type': 'None'}]}, {'property_name': 'Range', 'property_type': 'IfcPropertyBoundedValue', 'data_type': {'instance': 'IfcReal', 'bounds': [], 'unit_type': 'None'}}, {'property_name': 'Value', 'property_type': 'IfcPropertyBoundedValue', 'data_type': {'instance': 'IfcReal', 'bounds': [], 'unit_type': 'None'}}, {'property_name': 'ProportionalConstant', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcReal', 'unit_type': 'None'}}, {'property_name': 'IntegralConstant', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcReal', 'unit_type': 'None'}}, {'property_name': 'DerivativeConstant', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcReal', 'unit_type': 'None'}}, {'property_name': 'SignalTimeIncrease', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcTimeMeasure', 'unit_type': 'None'}}, {'property_name': 'SignalTimeDecrease', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcTimeMeasure', 'unit_type': 'None'}}]"
Pset_ControllerTypeTwoPosition,PSET_TYPEDRIVENOVERRIDE,['IfcController/TWOPOSITION'],IfcController/TWOPOSITION,"[{'property_name': 'ControlType', 'property_type': 'IfcPropertyEnumeratedValue', 'data_type': {'instance': 'PEnum_ControllerTwoPositionType', 'enums': ['NOT', 'AND', 'OR', 'XOR', 'LOWERLIMITSWITCH', 'UPPERLIMITSWITCH', 'LOWERBANDSWITCH', 'UPPERBANDSWITCH', 'AVERAGE', 'CALENDAR', 'INPUT', 'OUTPUT', 'VARIABLE', 'OTHER', 'NOTKNOWN', 'UNSET']}}, {'property_name': 'Labels', 'property_type': 'IfcPropertyTableValue', 'data_type': [{'instance': 'IfcBoolean', 'values': [], 'unit_type': 'None'}, {'instance': 'IfcLabel', 'values': [], 'unit_type': 'None'}]}, {'property_name': 'Polarity', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcBoolean', 'unit_type': 'None'}}, {'property_name': 'Value', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcBoolean', 'unit_type': 'None'}}]"
Pset_CooledBeamPHistory,PSET_PERFORMANCEDRIVEN,['IfcCooledBeam'],IfcCooledBeam,"[{'property_name': 'TotalCoolingCapacity', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcTimeSeries'}}, {'property_name': 'TotalHeatingCapacity', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcTimeSeries'}}, {'property_name': 'BeamCoolingCapacity', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcTimeSeries'}}, {'property_name': 'BeamHeatingCapacity', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcTimeSeries'}}, {'property_name': 'CoolingWaterFlowRate', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcTimeSeries'}}, {'property_name': 'HeatingWaterFlowRate', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcTimeSeries'}}, {'property_name': 'CorrectionFactorForCooling', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcTimeSeries'}}, {'property_name': 'CorrectionFactorForHeating', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcTimeSeries'}}, {'property_name': 'WaterPressureDropCurves', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcTimeSeries'}}, {'property_name': 'SupplyWaterTemperatureCooling', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcTimeSeries'}}, {'property_name': 'ReturnWaterTemperatureCooling', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcTimeSeries'}}, {'property_name': 'SupplyWaterTemperatureHeating', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcTimeSeries'}}, {'property_name': 'ReturnWaterTemperatureHeating', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcTimeSeries'}}]"
Pset_CooledBeamPHistoryActive,PSET_PERFORMANCEDRIVEN,['IfcCooledBeam/ACTIVE'],IfcCooledBeam/ACTIVE,"[{'property_name': 'AirFlowRate', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcTimeSeries'}}, {'property_name': 'Throw', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcTimeSeries'}}, {'property_name': 'AirPressureDropCurves', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcTimeSeries'}}]"
Pset_CooledBeamTypeActive,PSET_TYPEDRIVENOVERRIDE,['IfcCooledBeam/ACTIVE'],IfcCooledBeam/ACTIVE,"[{'property_name': 'AirFlowConfiguration', 'property_type': 'IfcPropertyEnumeratedValue', 'data_type': {'instance': 'PEnum_CooledBeamActiveAirFlowConfigurationType', 'enums': ['BIDIRECTIONAL', 'UNIDIRECTIONALRIGHT', 'UNIDIRECTIONALLEFT', 'OTHER', 'NOTKNOWN', 'UNSET']}}, {'property_name': 'AirflowRateRange', 'property_type': 'IfcPropertyBoundedValue', 'data_type': {'instance': 'IfcVolumetricFlowRateMeasure', 'bounds': [], 'unit_type': 'None'}}, {'property_name': 'SupplyAirConnectionType', 'property_type': 'IfcPropertyEnumeratedValue', 'data_type': {'instance': 'PEnum_CooledBeamSupplyAirConnectionType', 'enums': ['STRAIGHT', 'RIGHT', 'LEFT', 'TOP', 'OTHER', 'NOTKNOWN', 'UNSET']}}, {'property_name': 'ConnectionSize', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcLengthMeasure', 'unit_type': 'None'}}]"
